key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3


user-account-member-01,true,"UserIdentity{name: 'Ana', surname: 'Pilot', email: 'ana.pilot@acme.com'}",pilot1,pilot1
user-account-member-02,true,"UserIdentity{name: 'David', surname: 'CoPilot', email: 'david.copilot@acme.com'}",copilot1,copilot1
user-account-member-03,true,"UserIdentity{name: 'Sofia', surname: 'Attendant', email: 'sofia.attendant@acme.com'}",attendant1,attendant1
user-account-member-04,true,"UserIdentity{name: 'Esteban', surname: 'Lopez', email: 'esteban@acme.com'}",attendant2,attendant2
user-account-member,true,"UserIdentity{name: 'Jesus', surname: 'Pons', email: 'jesus.attendant@acme.com'}",attendant3,attendant3

user-account-agent-01,true,"UserIdentity{name: 'Alberto', surname: 'Aznar', email: 'alberto@acme.com'}",agent1,agent1
user-account-agent-02,true,"UserIdentity{name: 'Zaida', surname: 'Zamora', email: 'juancarlos@acme.com'}",agent2,agent2
user-account-agent-03,true,"UserIdentity{name: 'Anabel', surname: 'Gonzalez', email: 'anabel@acme.com'}",agent3,agent3

user-account-customer-01,true,"UserIdentity{name: 'AAA', surname: 'BBB CCC', email: 'ABC@acme.com'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name: 'AAA', surname: 'BBB', email: 'AB@acme.com'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name: 'No', surname: 'Customer', email: 'nocustomer@acme.com'}",customer3,customer3
user-account-customer-04,true,"UserIdentity{name: 'YYY', surname: 'YYY YYY', email: 'YYY@acme.com'}",customer4,customer4
user-account-customer-05,true,"UserIdentity{name: 'XXX', surname: 'XXX XXX', email: 'XXX@acme.com'}",customer5,customer5
user-account-customer-06,true,"UserIdentity{name: 'WWW', surname: 'WWW WWW', email: 'WWW@acme.com'}",customer6,customer6
